day,traffic,1 part,2 part,3part,4part,5 part,6 part
27.09.2026,extreme,extreme,low,low,low,increased,increased
28.09.2026,low,extreme,extreme,heavy,increased,extreme,heavy
29.09.2026,heavy,heavy,heavy,low,extreme,extreme,low
30.09.2026,heavy,extreme,increased,extreme,low,extreme,increased
01.10.2026,low,heavy,low,extreme,increased,low,increased
02.10.2026,increased,low,increased,extreme,increased,heavy,extreme
03.10.2026,heavy,increased,extreme,increased,low,heavy,increased
04.10.2026,low,increased,increased,increased,extreme,extreme,increased
05.10.2026,increased,increased,low,increased,low,extreme,low
06.10.2026,extreme,heavy,heavy,low,increased,increased,extreme
07.10.2026,heavy,increased,increased,extreme,low,increased,extreme
08.10.2026,extreme,increased,increased,increased,heavy,low,extreme
09.10.2026,extreme,low,heavy,increased,extreme,low,increased
10.10.2026,increased,heavy,heavy,heavy,extreme,low,heavy
11.10.2026,extreme,extreme,extreme,low,extreme,heavy,heavy
12.10.2026,heavy,low,heavy,increased,increased,extreme,low
13.10.2026,increased,low,extreme,low,low,low,increased
14.10.2026,low,low,low,low,low,increased,extreme
15.10.2026,heavy,extreme,extreme,extreme,low,low,heavy
16.10.2026,low,increased,heavy,extreme,extreme,low,heavy
17.10.2026,heavy,heavy,heavy,increased,increased,low,heavy
18.10.2026,extreme,increased,heavy,heavy,low,low,heavy
19.10.2026,low,extreme,low,low,heavy,extreme,heavy
20.10.2026,low,extreme,extreme,extreme,low,low,heavy
21.10.2026,heavy,heavy,low,heavy,extreme,heavy,heavy
22.10.2026,low,heavy,increased,low,increased,increased,increased
23.10.2026,low,low,heavy,extreme,low,extreme,low
24.10.2026,extreme,heavy,low,heavy,low,increased,extreme
25.10.2026,low,increased,increased,heavy,extreme,extreme,low
26.10.2026,heavy,extreme,heavy,extreme,heavy,heavy,increased
27.10.2026,low,extreme,extreme,low,heavy,increased,increased
28.10.2026,heavy,heavy,low,increased,extreme,increased,heavy
29.10.2026,heavy,low,heavy,increased,heavy,increased,extreme
30.10.2026,low,extreme,heavy,increased,low,heavy,increased
31.10.2026,increased,extreme,heavy,increased,extreme,extreme,extreme
01.11.2026,low,heavy,extreme,low,extreme,increased,increased
02.11.2026,low,low,heavy,extreme,heavy,increased,extreme
03.11.2026,low,increased,extreme,increased,low,increased,heavy
04.11.2026,low,heavy,low,extreme,extreme,increased,heavy
05.11.2026,heavy,increased,extreme,low,low,extreme,heavy
06.11.2026,extreme,extreme,extreme,extreme,extreme,increased,low
07.11.2026,heavy,increased,extreme,heavy,increased,extreme,low
08.11.2026,extreme,increased,low,increased,extreme,low,increased
09.11.2026,low,increased,extreme,increased,extreme,low,heavy
10.11.2026,extreme,low,extreme,increased,extreme,extreme,increased
11.11.2026,low,extreme,low,low,heavy,increased,heavy
12.11.2026,extreme,low,heavy,heavy,extreme,extreme,increased
13.11.2026,extreme,extreme,increased,heavy,extreme,increased,increased
14.11.2026,increased,increased,low,increased,heavy,heavy,heavy
15.11.2026,low,low,low,low,heavy,low,increased
16.11.2026,extreme,increased,low,low,extreme,increased,increased
17.11.2026,heavy,heavy,low,extreme,heavy,heavy,extreme
18.11.2026,heavy,increased,heavy,low,low,low,heavy
19.11.2026,low,extreme,low,extreme,increased,heavy,low
20.11.2026,extreme,increased,increased,increased,low,increased,low
21.11.2026,extreme,heavy,extreme,heavy,increased,low,increased
22.11.2026,low,extreme,increased,low,increased,heavy,increased
23.11.2026,low,increased,extreme,heavy,low,heavy,increased
24.11.2026,low,increased,heavy,extreme,extreme,heavy,extreme
25.11.2026,increased,heavy,extreme,increased,low,increased,low
26.11.2026,heavy,extreme,extreme,heavy,extreme,low,heavy
27.11.2026,increased,increased,heavy,extreme,low,increased,extreme
28.11.2026,heavy,extreme,extreme,heavy,increased,low,heavy
29.11.2026,increased,extreme,increased,extreme,heavy,low,heavy
30.11.2026,heavy,low,low,low,extreme,extreme,low
01.12.2026,increased,extreme,extreme,heavy,heavy,low,increased
02.12.2026,low,extreme,heavy,extreme,low,heavy,heavy
03.12.2026,low,extreme,extreme,extreme,low,low,heavy
04.12.2026,extreme,increased,extreme,low,heavy,increased,low
05.12.2026,extreme,increased,extreme,heavy,increased,low,extreme
06.12.2026,increased,heavy,heavy,heavy,extreme,low,low
07.12.2026,extreme,heavy,low,increased,increased,increased,low
08.12.2026,heavy,heavy,low,low,extreme,low,heavy
09.12.2026,increased,extreme,extreme,increased,low,extreme,increased
10.12.2026,increased,low,low,extreme,heavy,increased,increased
11.12.2026,increased,low,low,extreme,increased,heavy,low
12.12.2026,heavy,low,extreme,low,heavy,heavy,heavy
13.12.2026,low,heavy,low,extreme,low,extreme,heavy
14.12.2026,increased,extreme,extreme,extreme,low,heavy,heavy
15.12.2026,increased,extreme,extreme,low,heavy,heavy,low
16.12.2026,low,extreme,extreme,low,increased,low,extreme
17.12.2026,heavy,extreme,extreme,increased,extreme,low,low
18.12.2026,increased,increased,increased,increased,increased,heavy,extreme
19.12.2026,low,low,low,heavy,low,increased,low
20.12.2026,low,low,extreme,heavy,extreme,low,increased
21.12.2026,heavy,low,extreme,low,heavy,extreme,heavy
22.12.2026,heavy,heavy,extreme,increased,heavy,low,heavy
23.12.2026,extreme,heavy,extreme,heavy,extreme,increased,increased
24.12.2026,extreme,increased,low,extreme,heavy,heavy,low
25.12.2026,extreme,low,low,heavy,extreme,low,heavy
26.12.2026,extreme,low,low,low,extreme,heavy,extreme
27.12.2026,extreme,increased,extreme,low,extreme,increased,heavy
28.12.2026,extreme,low,heavy,heavy,extreme,heavy,increased
29.12.2026,increased,extreme,low,extreme,low,low,extreme
30.12.2026,heavy,low,increased,extreme,extreme,extreme,low
31.12.2026,heavy,extreme,heavy,low,heavy,extreme,low
01.01.2027,increased,increased,heavy,extreme,heavy,increased,extreme
02.01.2027,low,heavy,low,heavy,heavy,extreme,increased
03.01.2027,extreme,heavy,increased,increased,heavy,increased,extreme
04.01.2027,low,low,increased,extreme,heavy,increased,low
05.01.2027,increased,heavy,low,low,extreme,heavy,heavy
06.01.2027,low,extreme,heavy,heavy,extreme,heavy,increased
07.01.2027,extreme,heavy,heavy,extreme,increased,extreme,heavy
08.01.2027,increased,low,extreme,heavy,increased,extreme,increased
09.01.2027,increased,extreme,heavy,heavy,increased,increased,low
10.01.2027,low,low,low,extreme,increased,increased,increased
11.01.2027,increased,heavy,low,extreme,extreme,low,heavy
12.01.2027,heavy,low,low,increased,heavy,low,low
13.01.2027,extreme,increased,low,low,extreme,low,increased
14.01.2027,extreme,heavy,increased,heavy,increased,increased,heavy
15.01.2027,increased,extreme,extreme,increased,low,low,low
16.01.2027,increased,low,low,heavy,low,extreme,extreme
17.01.2027,heavy,heavy,increased,increased,extreme,increased,heavy
18.01.2027,low,extreme,extreme,low,low,increased,extreme
19.01.2027,extreme,heavy,increased,heavy,heavy,increased,increased
20.01.2027,extreme,extreme,heavy,heavy,extreme,extreme,low
21.01.2027,increased,increased,extreme,increased,heavy,heavy,extreme
22.01.2027,heavy,low,low,extreme,low,extreme,heavy
23.01.2027,increased,heavy,extreme,low,extreme,low,extreme
24.01.2027,low,increased,extreme,extreme,increased,low,extreme
25.01.2027,extreme,increased,heavy,increased,increased,heavy,increased
26.01.2027,low,heavy,heavy,increased,extreme,low,low
27.01.2027,heavy,increased,low,low,increased,increased,low
28.01.2027,extreme,low,increased,extreme,low,increased,low
29.01.2027,low,heavy,increased,extreme,heavy,extreme,heavy
30.01.2027,extreme,extreme,extreme,increased,increased,heavy,low
31.01.2027,increased,increased,low,heavy,low,heavy,heavy
01.02.2027,increased,increased,heavy,increased,heavy,low,low
02.02.2027,increased,heavy,increased,increased,extreme,extreme,increased
03.02.2027,increased,low,heavy,increased,increased,increased,heavy
04.02.2027,increased,low,increased,extreme,low,heavy,low
05.02.2027,increased,heavy,extreme,heavy,heavy,increased,extreme
06.02.2027,increased,increased,increased,increased,low,heavy,increased
07.02.2027,heavy,low,heavy,heavy,extreme,increased,increased
08.02.2027,heavy,extreme,low,heavy,heavy,increased,extreme
09.02.2027,increased,extreme,extreme,heavy,increased,heavy,low
10.02.2027,increased,increased,low,increased,extreme,heavy,increased
11.02.2027,extreme,extreme,increased,low,increased,heavy,increased
12.02.2027,low,extreme,increased,low,extreme,low,heavy
13.02.2027,extreme,low,extreme,increased,extreme,heavy,extreme
14.02.2027,low,low,heavy,low,low,increased,increased
15.02.2027,extreme,low,increased,heavy,heavy,increased,low
16.02.2027,low,increased,increased,heavy,increased,heavy,low
17.02.2027,low,increased,increased,low,increased,low,low
18.02.2027,heavy,heavy,increased,extreme,extreme,low,increased
19.02.2027,increased,increased,low,heavy,extreme,low,extreme
20.02.2027,heavy,low,increased,low,heavy,increased,increased
21.02.2027,heavy,heavy,increased,increased,extreme,extreme,increased
22.02.2027,extreme,low,increased,low,heavy,increased,low
23.02.2027,increased,extreme,increased,increased,extreme,extreme,heavy
24.02.2027,extreme,increased,low,heavy,low,extreme,extreme
25.02.2027,extreme,low,extreme,extreme,low,low,heavy
26.02.2027,extreme,low,heavy,extreme,low,low,low
27.02.2027,extreme,increased,increased,extreme,low,increased,heavy
28.02.2027,extreme,increased,increased,heavy,extreme,extreme,increased
01.03.2027,low,extreme,low,heavy,extreme,extreme,extreme
02.03.2027,extreme,heavy,low,heavy,heavy,increased,extreme
03.03.2027,extreme,increased,heavy,heavy,increased,extreme,extreme
04.03.2027,extreme,increased,extreme,heavy,heavy,extreme,heavy
05.03.2027,low,extreme,extreme,extreme,increased,low,low
06.03.2027,increased,increased,low,low,extreme,extreme,extreme
07.03.2027,extreme,heavy,extreme,extreme,increased,extreme,extreme
08.03.2027,extreme,increased,heavy,low,increased,heavy,increased
09.03.2027,extreme,extreme,low,low,heavy,heavy,low
10.03.2027,increased,low,increased,increased,low,increased,increased
11.03.2027,low,increased,extreme,increased,heavy,heavy,heavy
12.03.2027,low,low,extreme,heavy,low,heavy,increased
13.03.2027,heavy,increased,heavy,increased,increased,heavy,low
14.03.2027,heavy,increased,heavy,heavy,low,low,heavy
15.03.2027,low,increased,heavy,increased,low,low,low
16.03.2027,heavy,heavy,low,increased,increased,heavy,heavy
17.03.2027,low,low,low,increased,extreme,increased,extreme
18.03.2027,increased,heavy,heavy,extreme,increased,extreme,increased
19.03.2027,low,low,extreme,increased,low,low,heavy
20.03.2027,low,low,heavy,low,heavy,increased,low
21.03.2027,extreme,extreme,increased,extreme,low,extreme,heavy
22.03.2027,increased,low,extreme,increased,increased,extreme,extreme
23.03.2027,increased,heavy,extreme,increased,low,low,low
24.03.2027,low,extreme,low,heavy,increased,increased,increased
25.03.2027,heavy,increased,low,heavy,heavy,heavy,extreme
26.03.2027,heavy,increased,increased,heavy,low,increased,low
27.03.2027,low,extreme,extreme,increased,low,increased,low
28.03.2027,heavy,heavy,increased,increased,heavy,extreme,extreme
29.03.2027,increased,extreme,extreme,heavy,extreme,increased,increased
30.03.2027,low,heavy,heavy,heavy,extreme,increased,increased
31.03.2027,low,heavy,heavy,heavy,heavy,heavy,increased
01.04.2027,increased,extreme,extreme,increased,increased,low,increased
02.04.2027,increased,extreme,increased,extreme,low,increased,heavy
03.04.2027,increased,extreme,low,heavy,extreme,heavy,increased
04.04.2027,heavy,heavy,extreme,extreme,increased,low,increased
05.04.2027,low,low,increased,low,low,increased,heavy
06.04.2027,increased,increased,heavy,heavy,extreme,low,increased
07.04.2027,extreme,increased,extreme,low,heavy,low,heavy
08.04.2027,increased,low,increased,low,heavy,extreme,increased
09.04.2027,extreme,extreme,extreme,increased,increased,heavy,increased
10.04.2027,low,increased,heavy,increased,increased,low,extreme
11.04.2027,extreme,low,increased,increased,extreme,heavy,heavy
12.04.2027,increased,heavy,heavy,low,low,extreme,low
13.04.2027,heavy,heavy,heavy,heavy,extreme,extreme,low
14.04.2027,low,extreme,low,extreme,increased,low,increased
15.04.2027,heavy,extreme,low,low,extreme,heavy,extreme
16.04.2027,extreme,heavy,low,extreme,increased,low,increased
17.04.2027,low,heavy,increased,heavy,low,heavy,increased
18.04.2027,heavy,extreme,extreme,increased,heavy,heavy,extreme
19.04.2027,low,heavy,increased,low,increased,increased,extreme
20.04.2027,extreme,extreme,low,increased,heavy,extreme,increased
21.04.2027,increased,increased,heavy,increased,increased,heavy,increased
22.04.2027,low,increased,heavy,heavy,heavy,heavy,low
23.04.2027,low,heavy,heavy,extreme,increased,heavy,increased
24.04.2027,extreme,low,extreme,heavy,low,low,extreme
25.04.2027,low,heavy,extreme,low,extreme,low,extreme
26.04.2027,extreme,low,heavy,extreme,low,extreme,increased
27.04.2027,heavy,low,extreme,low,heavy,increased,heavy
28.04.2027,increased,extreme,low,extreme,extreme,increased,heavy
29.04.2027,low,heavy,low,low,extreme,heavy,increased
30.04.2027,extreme,extreme,heavy,low,extreme,heavy,increased
01.05.2027,extreme,heavy,increased,low,heavy,increased,heavy
02.05.2027,heavy,extreme,low,increased,heavy,low,increased
03.05.2027,low,increased,heavy,heavy,increased,increased,heavy
04.05.2027,increased,heavy,increased,extreme,extreme,heavy,extreme
05.05.2027,extreme,heavy,low,low,extreme,low,extreme
06.05.2027,extreme,extreme,low,low,low,extreme,extreme
07.05.2027,low,low,heavy,increased,increased,increased,low
08.05.2027,heavy,increased,increased,low,low,heavy,heavy
09.05.2027,extreme,increased,heavy,heavy,heavy,heavy,extreme
10.05.2027,increased,low,low,low,heavy,extreme,low
11.05.2027,low,heavy,low,extreme,extreme,extreme,heavy
12.05.2027,extreme,increased,increased,extreme,increased,increased,increased
13.05.2027,extreme,low,increased,extreme,extreme,heavy,heavy
14.05.2027,extreme,low,extreme,heavy,increased,low,heavy
15.05.2027,increased,low,heavy,low,low,extreme,increased
16.05.2027,extreme,low,extreme,increased,extreme,increased,low
17.05.2027,low,extreme,heavy,low,low,low,low
18.05.2027,increased,heavy,extreme,heavy,extreme,increased,extreme
19.05.2027,low,increased,extreme,low,heavy,extreme,extreme
20.05.2027,low,extreme,low,increased,heavy,increased,low
21.05.2027,extreme,heavy,increased,heavy,extreme,heavy,low
22.05.2027,increased,low,increased,extreme,increased,heavy,heavy
23.05.2027,low,extreme,extreme,heavy,heavy,heavy,low
24.05.2027,heavy,increased,extreme,heavy,low,low,extreme
25.05.2027,increased,extreme,extreme,heavy,increased,increased,increased
26.05.2027,low,increased,increased,heavy,extreme,heavy,extreme
27.05.2027,heavy,increased,extreme,increased,increased,low,low
28.05.2027,heavy,low,increased,increased,increased,extreme,increased
29.05.2027,low,heavy,heavy,heavy,low,low,increased
30.05.2027,increased,heavy,heavy,heavy,low,heavy,heavy
31.05.2027,extreme,heavy,extreme,increased,extreme,increased,low
01.06.2027,increased,extreme,increased,heavy,heavy,extreme,low
02.06.2027,increased,low,extreme,low,low,increased,increased
03.06.2027,extreme,heavy,heavy,heavy,extreme,low,extreme
04.06.2027,increased,increased,low,low,heavy,heavy,increased
05.06.2027,increased,extreme,low,increased,extreme,extreme,increased
06.06.2027,increased,extreme,extreme,increased,heavy,heavy,low
07.06.2027,heavy,low,low,extreme,low,extreme,low
08.06.2027,heavy,extreme,increased,low,increased,extreme,increased
09.06.2027,extreme,extreme,extreme,extreme,increased,extreme,extreme
10.06.2027,heavy,heavy,low,increased,low,increased,extreme
11.06.2027,low,extreme,low,low,low,low,increased
12.06.2027,increased,heavy,extreme,heavy,low,extreme,heavy
13.06.2027,extreme,low,heavy,low,low,heavy,extreme
14.06.2027,increased,extreme,increased,low,low,increased,low
15.06.2027,extreme,heavy,increased,heavy,heavy,heavy,heavy
16.06.2027,extreme,extreme,extreme,increased,extreme,extreme,extreme
17.06.2027,extreme,heavy,extreme,increased,heavy,low,extreme
18.06.2027,low,extreme,increased,increased,heavy,heavy,extreme
19.06.2027,low,low,increased,heavy,heavy,heavy,extreme
20.06.2027,low,low,low,increased,extreme,increased,extreme
21.06.2027,extreme,low,increased,heavy,increased,low,low
22.06.2027,low,low,increased,increased,increased,extreme,low
23.06.2027,extreme,increased,increased,heavy,heavy,extreme,low
24.06.2027,extreme,heavy,increased,increased,increased,heavy,increased
25.06.2027,low,heavy,low,increased,heavy,extreme,increased
26.06.2027,heavy,increased,low,extreme,increased,extreme,low
27.06.2027,increased,low,extreme,low,increased,increased,low
28.06.2027,low,increased,low,increased,increased,low,low
29.06.2027,low,heavy,heavy,extreme,extreme,extreme,increased
30.06.2027,extreme,low,increased,extreme,increased,heavy,heavy
