day,traffic,1 part,2 part,3 part,4 part,5 part,6 part
10.09.2026,moderate,moderate,moderate,moderate,moderate,moderate,moderate
11.09.2026,heavy,heavy,moderate,moderate,moderate,heavy,heavy
12.09.2026,heavy,heavy,moderate,heavy,moderate,moderate,heavy
13.09.2026,heavy,moderate,low,heavy,heavy,heavy,heavy
14.09.2026,increased,heavy,moderate,increased,increased,increased,moderate
15.09.2026,increased,moderate,moderate,increased,increased,increased,increased
16.09.2026,increased,moderate,moderate,increased,increased,increased,moderate
17.09.2026,moderate,moderate,moderate,moderate,moderate,increased,moderate
18.09.2026,heavy,moderate,moderate,moderate,moderate,heavy,heavy
19.09.2026,heavy,heavy,moderate,heavy,moderate,moderate,moderate
20.09.2026,heavy,increased,low,heavy,heavy,heavy,heavy
21.09.2026,increased,heavy,moderate,increased,increased,increased,moderate
22.09.2026,increased,moderate,moderate,increased,increased,increased,increased
23.09.2026,increased,moderate,moderate,increased,increased,increased,moderate
24.09.2026,moderate,moderate,moderate,moderate,moderate,increased,moderate
25.09.2026,moderate,moderate,moderate,moderate,moderate,moderate,heavy
26.09.2026,heavy,heavy,moderate,heavy,moderate,moderate,moderate
27.09.2026,heavy,increased,low,heavy,heavy,heavy,moderate
28.09.2026,increased,heavy,moderate,increased,increased,increased,moderate
29.09.2026,increased,moderate,moderate,increased,increased,increased,increased
30.09.2026,increased,moderate,moderate,increased,increased,increased,moderate
01.10.2026,increased,moderate,moderate,increased,increased,increased,moderate
02.10.2026,moderate,moderate,low,moderate,moderate,moderate,heavy
03.10.2026,moderate,heavy,low,moderate,moderate,moderate,heavy
04.10.2026,moderate,low,low,heavy,heavy,heavy,moderate
05.10.2026,low,moderate,increased,low,low,low,increased
06.10.2026,low,low,low,low,low,low,low
07.10.2026,low,increased,low,low,low,low,increased
08.10.2026,low,increased,low,low,increased,increased,increased
09.10.2026,moderate,low,low,moderate,moderate,moderate,moderate
10.10.2026,moderate,moderate,low,moderate,increased,moderate,increased
11.10.2026,moderate,low,low,heavy,heavy,heavy,increased
12.10.2026,low,moderate,low,low,low,low,low
13.10.2026,low,low,low,low,low,low,low
14.10.2026,low,increased,low,low,low,low,increased
15.10.2026,low,increased,low,low,low,low,increased
16.10.2026,moderate,low,low,moderate,increased,moderate,moderate
17.10.2026,increased,moderate,low,moderate,increased,increased,increased
18.10.2026,moderate,low,low,moderate,heavy,heavy,increased
19.10.2026,low,moderate,low,low,low,low,low
20.10.2026,low,low,low,low,low,low,low
21.10.2026,low,increased,low,low,low,low,low
22.10.2026,low,low,low,low,low,increased,low
23.10.2026,increased,low,low,increased,increased,moderate,moderate
24.10.2026,increased,moderate,low,moderate,increased,increased,low
25.10.2026,increased,low,low,moderate,heavy,moderate,low
26.10.2026,low,moderate,low,low,low,low,increased
27.10.2026,low,low,low,low,low,low,increased
28.10.2026,low,low,low,low,increased,increased,increased
29.10.2026,increased,increased,low,increased,increased,increased,increased
30.10.2026,moderate,increased,low,moderate,moderate,moderate,heavy
31.10.2026,moderate,heavy,low,moderate,increased,moderate,moderate
01.11.2026,low,low,low,increased,increased,increased,moderate
02.11.2026,low,increased,low,low,low,low,low
03.11.2026,low,low,low,low,low,low,low
04.11.2026,low,low,low,low,low,low,low
05.11.2026,low,low,low,low,low,low,low
06.11.2026,low,low,low,low,low,low,moderate
07.11.2026,low,low,low,low,low,low,low
08.11.2026,low,low,low,low,increased,increased,low
09.11.2026,low,increased,low,low,low,low,low
10.11.2026,low,low,low,low,low,low,low
11.11.2026,low,low,low,low,low,low,low
12.11.2026,low,low,low,low,low,low,low
13.11.2026,low,low,low,low,low,low,increased
14.11.2026,low,low,low,low,low,low,low
15.11.2026,low,low,low,low,increased,low,low
16.11.2026,low,increased,low,low,low,low,low
17.11.2026,low,low,low,low,low,low,low
18.11.2026,low,low,low,low,low,low,low
19.11.2026,low,low,low,low,low,low,low
20.11.2026,low,low,low,low,low,low,increased
21.11.2026,low,low,low,low,low,low,low
22.11.2026,low,low,low,low,increased,low,low
23.11.2026,low,increased,low,low,low,low,low
24.11.2026,low,low,low,low,low,low,low
25.11.2026,low,low,low,low,low,low,low
26.11.2026,low,low,low,low,low,low,low
27.11.2026,low,low,low,low,low,low,increased
28.11.2026,low,low,low,low,low,low,low
29.11.2026,low,low,low,low,increased,increased,low
30.11.2026,low,increased,low,low,low,low,low
01.12.2026,low,low,low,low,low,low,low
02.12.2026,low,low,low,low,low,low,low
03.12.2026,low,low,low,low,low,low,low
04.12.2026,low,low,low,increased,increased,low,increased
05.12.2026,low,low,low,increased,low,low,low
06.12.2026,low,low,low,moderate,moderate,moderate,low
07.12.2026,low,increased,low,low,low,low,low
08.12.2026,low,low,low,low,low,low,low
09.12.2026,low,increased,low,low,low,low,increased
10.12.2026,low,increased,low,low,low,low,increased
11.12.2026,increased,low,low,increased,increased,increased,moderate
12.12.2026,increased,moderate,low,moderate,increased,increased,moderate
13.12.2026,moderate,low,low,moderate,heavy,moderate,increased
14.12.2026,low,moderate,low,low,low,low,increased
15.12.2026,low,increased,increased,low,low,low,increased
16.12.2026,low,increased,increased,low,low,low,moderate
17.12.2026,increased,increased,increased,increased,increased,increased,moderate
18.12.2026,moderate,low,low,moderate,moderate,moderate,moderate
19.12.2026,moderate,heavy,moderate,moderate,moderate,increased,increased
20.12.2026,increased,low,low,moderate,moderate,moderate,low
21.12.2026,low,low,low,low,low,low,low
22.12.2026,low,low,low,low,increased,low,low
23.12.2026,low,low,low,low,increased,low,low
24.12.2026,low,low,low,increased,increased,low,low
25.12.2026,low,low,low,low,increased,increased,increased
26.12.2026,low,low,low,low,increased,increased,moderate
27.12.2026,low,low,low,increased,increased,increased,low
28.12.2026,low,low,low,low,increased,low,low
29.12.2026,low,low,low,low,increased,low,low
30.12.2026,low,low,low,low,increased,low,low
31.12.2026,low,low,low,increased,increased,low,low
01.01.2027,moderate,low,low,moderate,moderate,moderate,increased
02.01.2027,heavy,heavy,heavy,heavy,moderate,moderate,heavy
03.01.2027,moderate,low,low,moderate,heavy,heavy,moderate
04.01.2027,increased,moderate,low,increased,moderate,increased,increased
05.01.2027,low,low,low,increased,increased,low,low
06.01.2027,low,low,low,low,low,low,low
07.01.2027,low,low,increased,low,low,low,low
08.01.2027,moderate,increased,moderate,moderate,moderate,moderate,moderate
09.01.2027,heavy,heavy,extreme,heavy,heavy,moderate,moderate
10.01.2027,moderate,low,low,heavy,heavy,heavy,low
11.01.2027,low,low,low,low,low,low,low
12.01.2027,low,low,low,low,low,low,low
13.01.2027,low,low,low,low,low,low,low
14.01.2027,low,low,low,low,low,low,low
15.01.2027,moderate,low,increased,moderate,increased,moderate,increased
16.01.2027,heavy,heavy,extreme,heavy,moderate,moderate,increased
17.01.2027,moderate,low,low,heavy,heavy,heavy,low
18.01.2027,low,low,low,low,low,low,low
19.01.2027,low,low,low,low,low,low,low
20.01.2027,low,low,low,low,low,low,low
21.01.2027,low,low,increased,low,low,low,low
22.01.2027,moderate,low,moderate,moderate,moderate,moderate,moderate
23.01.2027,heavy,heavy,extreme,heavy,heavy,moderate,increased
24.01.2027,moderate,low,low,heavy,heavy,heavy,low
25.01.2027,low,increased,increased,low,low,low,low
26.01.2027,low,low,increased,low,low,low,low
27.01.2027,low,increased,moderate,low,low,low,low
28.01.2027,increased,increased,moderate,increased,increased,low,increased
29.01.2027,heavy,increased,heavy,moderate,moderate,moderate,heavy
30.01.2027,extreme,extreme,extreme,extreme,heavy,moderate,heavy
31.01.2027,heavy,low,low,heavy,heavy,heavy,increased
01.02.2027,low,moderate,moderate,low,low,low,low
02.02.2027,low,low,moderate,low,low,low,low
03.02.2027,low,increased,heavy,low,low,low,increased
04.02.2027,increased,increased,heavy,increased,increased,low,increased
05.02.2027,heavy,moderate,heavy,moderate,moderate,moderate,heavy
06.02.2027,extreme,extreme,extreme,heavy,heavy,moderate,heavy
07.02.2027,heavy,low,low,heavy,heavy,heavy,increased
08.02.2027,low,moderate,moderate,low,low,low,low
09.02.2027,low,low,moderate,low,low,low,low
10.02.2027,low,increased,heavy,low,low,low,increased
11.02.2027,increased,increased,heavy,increased,increased,increased,increased
12.02.2027,heavy,moderate,heavy,moderate,heavy,moderate,heavy
13.02.2027,extreme,extreme,extreme,heavy,heavy,moderate,heavy
14.02.2027,heavy,low,low,heavy,heavy,heavy,increased
15.02.2027,low,moderate,moderate,low,low,low,low
16.02.2027,low,low,moderate,low,low,low,low
17.02.2027,low,increased,heavy,low,low,low,increased
18.02.2027,increased,increased,heavy,increased,increased,increased,increased
19.02.2027,heavy,moderate,heavy,moderate,heavy,moderate,heavy
20.02.2027,extreme,extreme,extreme,heavy,heavy,moderate,heavy
21.02.2027,heavy,low,low,heavy,heavy,heavy,increased
22.02.2027,low,moderate,moderate,low,low,low,low
23.02.2027,low,increased,heavy,low,low,low,low
24.02.2027,increased,moderate,heavy,low,low,low,increased
25.02.2027,increased,moderate,heavy,increased,increased,increased,increased
26.02.2027,heavy,moderate,extreme,heavy,heavy,heavy,heavy
27.02.2027,extreme,extreme,extreme,extreme,heavy,moderate,heavy
28.02.2027,heavy,low,low,heavy,extreme,heavy,moderate
01.03.2027,low,moderate,heavy,low,low,low,low
02.03.2027,low,increased,heavy,low,low,low,low
03.03.2027,increased,moderate,heavy,low,low,low,increased
04.03.2027,increased,moderate,heavy,increased,increased,increased,increased
05.03.2027,heavy,moderate,extreme,moderate,heavy,moderate,heavy
06.03.2027,extreme,extreme,extreme,extreme,heavy,moderate,heavy
07.03.2027,heavy,low,low,heavy,extreme,heavy,increased
08.03.2027,low,moderate,heavy,low,low,low,low
09.03.2027,low,moderate,heavy,low,low,low,increased
10.03.2027,increased,moderate,heavy,low,increased,low,moderate
11.03.2027,moderate,moderate,heavy,increased,increased,increased,moderate
12.03.2027,heavy,moderate,extreme,moderate,heavy,moderate,heavy
13.03.2027,extreme,extreme,extreme,extreme,heavy,moderate,heavy
14.03.2027,heavy,low,low,heavy,extreme,heavy,increased
15.03.2027,low,moderate,moderate,low,low,low,low
16.03.2027,low,increased,moderate,low,low,low,low
17.03.2027,low,increased,moderate,low,low,low,increased
18.03.2027,increased,moderate,heavy,increased,increased,low,increased
19.03.2027,moderate,increased,heavy,moderate,moderate,moderate,moderate
20.03.2027,heavy,heavy,extreme,heavy,moderate,moderate,moderate
21.03.2027,heavy,low,low,heavy,heavy,heavy,low
22.03.2027,low,moderate,moderate,low,low,low,low
23.03.2027,low,increased,moderate,low,low,low,low
24.03.2027,increased,moderate,heavy,low,low,increased,moderate
25.03.2027,increased,moderate,heavy,increased,increased,increased,moderate
26.03.2027,moderate,moderate,heavy,moderate,moderate,moderate,heavy
27.03.2027,moderate,heavy,heavy,moderate,increased,increased,moderate
28.03.2027,moderate,low,low,moderate,heavy,moderate,low
29.03.2027,moderate,heavy,heavy,increased,increased,moderate,heavy
30.03.2027,increased,moderate,heavy,low,low,increased,heavy
31.03.2027,increased,moderate,heavy,low,low,low,increased
01.04.2027,low,increased,low,low,low,low,low
02.04.2027,low,low,low,low,low,increased,increased
03.04.2027,low,moderate,low,increased,low,low,low
04.04.2027,low,low,low,increased,moderate,moderate,low
05.04.2027,low,increased,low,low,low,low,low
06.04.2027,low,low,low,low,low,low,low
07.04.2027,low,low,low,low,low,low,low
08.04.2027,low,low,low,low,low,low,low
09.04.2027,low,low,low,low,low,increased,increased
10.04.2027,low,moderate,low,increased,low,low,low
11.04.2027,low,low,low,increased,moderate,moderate,low
12.04.2027,low,increased,low,low,low,low,low
13.04.2027,low,low,low,low,low,low,low
14.04.2027,low,low,low,low,low,low,low
15.04.2027,low,low,low,low,low,low,low
16.04.2027,low,low,low,low,low,increased,increased
17.04.2027,low,moderate,low,increased,low,low,low
18.04.2027,low,low,low,increased,moderate,moderate,low
19.04.2027,low,increased,low,low,low,low,low
20.04.2027,low,low,low,low,low,low,low
21.04.2027,low,low,low,low,low,low,low
22.04.2027,low,low,low,low,low,low,low
23.04.2027,low,low,low,low,low,increased,increased
24.04.2027,low,moderate,low,increased,low,low,low
25.04.2027,low,low,low,increased,moderate,moderate,low
26.04.2027,low,increased,low,low,low,low,low
27.04.2027,low,low,low,low,low,low,low
28.04.2027,low,low,low,low,low,low,low
29.04.2027,low,low,low,low,low,low,low
30.04.2027,low,low,low,low,low,increased,increased
01.05.2027,low,increased,low,increased,low,increased,low
02.05.2027,low,low,low,increased,moderate,moderate,low
03.05.2027,low,increased,low,low,low,low,low
04.05.2027,low,low,low,low,low,low,low
05.05.2027,low,low,low,low,low,low,low
06.05.2027,low,low,low,low,low,low,low
07.05.2027,low,low,low,low,low,increased,moderate
08.05.2027,low,increased,low,increased,low,increased,low
09.05.2027,increased,low,low,moderate,moderate,moderate,low
10.05.2027,low,moderate,low,low,low,low,low
11.05.2027,low,low,low,low,low,low,low
12.05.2027,low,low,low,low,low,low,low
13.05.2027,low,low,low,low,low,low,low
14.05.2027,low,low,low,low,low,increased,moderate
15.05.2027,low,moderate,low,increased,low,increased,increased
16.05.2027,increased,low,low,moderate,moderate,moderate,low
17.05.2027,low,moderate,low,low,low,low,low
18.05.2027,low,low,low,low,low,low,low
19.05.2027,low,low,low,low,low,low,low
20.05.2027,low,low,low,low,low,low,low
21.05.2027,low,low,low,low,low,increased,moderate
22.05.2027,low,moderate,low,increased,low,increased,increased
23.05.2027,increased,low,low,moderate,moderate,moderate,increased
24.05.2027,low,moderate,low,low,low,low,low
25.05.2027,low,low,low,low,low,low,low
26.05.2027,low,low,low,low,low,low,low
27.05.2027,low,low,low,low,low,low,low
28.05.2027,increased,increased,low,low,low,increased,moderate
29.05.2027,low,moderate,low,increased,low,increased,increased
30.05.2027,increased,low,low,moderate,moderate,moderate,increased
31.05.2027,low,moderate,low,low,low,low,low
01.06.2027,low,low,low,low,low,low,low
02.06.2027,low,low,low,low,low,low,low
03.06.2027,low,increased,low,low,low,increased,increased
04.06.2027,increased,moderate,low,increased,increased,moderate,heavy
05.06.2027,moderate,heavy,low,moderate,increased,moderate,moderate
06.06.2027,heavy,moderate,low,heavy,heavy,heavy,heavy
07.06.2027,low,heavy,increased,low,low,low,low
08.06.2027,low,low,increased,low,low,low,low
09.06.2027,low,increased,low,low,low,low,low
10.06.2027,low,increased,increased,low,low,increased,increased
11.06.2027,moderate,moderate,low,increased,increased,moderate,heavy
12.06.2027,moderate,heavy,low,moderate,increased,moderate,moderate
13.06.2027,heavy,moderate,low,heavy,heavy,heavy,heavy
14.06.2027,low,heavy,increased,low,low,low,increased
15.06.2027,low,low,increased,low,low,low,low
16.06.2027,low,increased,increased,low,low,low,increased
17.06.2027,low,increased,increased,low,low,increased,increased
18.06.2027,moderate,moderate,increased,moderate,increased,moderate,heavy
19.06.2027,moderate,heavy,increased,moderate,increased,moderate,moderate
20.06.2027,heavy,moderate,low,heavy,heavy,heavy,heavy
21.06.2027,low,heavy,moderate,low,low,increased,increased
22.06.2027,low,increased,increased,low,low,low,increased
23.06.2027,low,increased,increased,low,low,increased,increased
24.06.2027,increased,moderate,moderate,increased,increased,increased,moderate
25.06.2027,moderate,moderate,increased,moderate,increased,moderate,heavy
26.06.2027,moderate,heavy,moderate,heavy,increased,moderate,heavy
27.06.2027,heavy,moderate,low,heavy,heavy,heavy,heavy
28.06.2027,increased,heavy,moderate,low,low,increased,moderate
29.06.2027,low,increased,increased,low,low,increased,increased
30.06.2027,low,moderate,increased,low,low,increased,moderate
